date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200615,AK,664,73773,,21,,,,3,,417,A,6/15/20 0:00,2020-06-15T00:00:00Z,6/14/20 20:00,12,,2020-06-15T00:00:00Z,74437,,,,2,3,967,74437,74437,970,74437,0,0,6b08035ecccc3d7c158bd1ebff8a325714b92a03,0,0,0,0,0,
20200615,AL,26272,276402,,546,2259,,676,,395,13508,B,6/15/20 11:00,2020-06-15T11:00:00Z,6/15/20 7:00,774,2259,2020-06-15T11:00:00Z,,,,25892,1,657,4562,302674,302674,5219,302674,1,4,5a2e19c16964661d50217b2850723b167c2255b8,0,0,0,0,0,
20200615,AR,12917,191221,,206,1003,,,45,163,8352,B,6/15/20 0:00,2020-06-15T00:00:00Z,6/14/20 20:00,182,1003,2020-06-15T00:00:00Z,,,,12917,5,416,6733,204138,204138,7149,204138,3,5,b09ef2ffe500407eb08f0c06674367d8b4eb4d37,0,0,0,0,0,
20200615,AS,0,174,,,,,,,,,C,6/1/20 0:00,2020-06-01T00:00:00Z,5/31/20 20:00,0,,2020-06-01T00:00:00Z,,,,,60,0,0,174,174,0,174,0,0,9fbf373597d3b20bdf748d1567bfb5daf0a1ade9,0,0,0,0,0,
20200615,AZ,36705,308552,,1449,3750,464,,307,,6462,A+,6/15/20 0:00,2020-06-15T00:00:00Z,6/14/20 20:00,1194,3750,2020-06-15T00:00:00Z,344929,,,36377,4,1014,6198,345257,345257,7212,345257,8,24,63be08bad71d36297e4a1aaeb41b67b953a669ad,0,0,0,0,0,
20200615,CA,151452,2716730,,4323,,1270,,,,,B,6/15/20 0:00,2020-06-15T00:00:00Z,6/14/20 20:00,5089,,2020-06-15T00:00:00Z,2868182,,,151452,6,2597,63589,2868182,2868182,66186,2868182,26,0,952aeb311c1f15712a48b9a9fdea0b9cf8563476,0,0,0,0,0,
20200615,CO,29130,219955,,276,5244,,,,,4196,A,6/14/20 0:00,2020-06-14T00:00:00Z,6/13/20 20:00,1599,5244,2020-06-14T00:00:00Z,,,,26523,8,113,4329,249085,249085,4442,249085,1,0,fc31515a363102e7522614e5971dbff88ceb661a,0,0,0,0,0,
20200615,CT,45235,311142,,203,9912,,,,,7611,B,6/14/20 20:30,2020-06-14T20:30:00Z,6/14/20 16:30,4204,9912,2020-06-14T20:30:00Z,354445,,,43303,9,147,7124,356377,356377,7271,356377,3,0,635fb804651ebd771a79ff34cc0106dd8216b3c2,0,0,0,0,0,
20200615,DC,9799,56047,,191,,76,,48,,1155,A+,6/14/20 0:00,2020-06-14T00:00:00Z,6/13/20 20:00,515,,2020-06-14T00:00:00Z,,,,9799,11,32,1284,65846,65846,1316,65846,0,0,28122da2cb8c9f0f211e9fc397c75c4ff8418d82,0,0,0,0,0,
20200615,DE,10340,74346,,88,,,,,,6172,A,6/14/20 18:00,2020-06-14T18:00:00Z,6/14/20 14:00,423,,2020-06-14T18:00:00Z,,,,9378,10,76,2823,84686,84686,2899,84686,1,0,f63b1edbbae57efd7b04d5f68c2e8ec7909517b6,0,0,0,0,0,
20200615,FL,77326,1352858,1167,,12298,,,,,,A,6/15/20 10:00,2020-06-15T10:00:00Z,6/15/20 6:00,3030,12298,2020-06-15T10:00:00Z,1684379,103802,1577532,77326,12,1758,19411,1431351,1430184,21169,1430184,8,74,074949cecdffccd82864acbcab57a6c71b779c41,0,0,0,0,0,
20200615,GA,58414,572082,,865,9322,,2043,,,,A,6/15/20 14:50,2020-06-15T14:50:00Z,6/15/20 10:50,2494,9322,2020-06-15T14:50:00Z,625055,52973,572082,58414,13,733,8973,630496,630496,9706,630496,43,74,dd75046ff87860f938ea156fd4bcca0790f9a02d,0,0,0,0,0,
